B01001_001E,B19013_001E,B19001_001E,B25003_003E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B03002_001E,B03002_003E,B03002_004E,B03002_006E,B03002_012E,B11001_001E,B11001_002E,B11001_007E,B15003_001E,B15003_016E,B15003_017E,B15003_018E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B20002_002E,B20002_003E,B23025_001E,B23025_002E,B23025_005E,B18101_001E,B18101_002E,B17001_001E,B17001_002E,state,county,tract
4647,67500,1680,940,17,59,49,434,4647,21,1107,247,2762,1680,1163,517,3477,136,376,130,176,863,142,22,0,-666666666,41658,4088,2249,319,4634,2291,4634,955,36,005,009800
0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,36,005,011000
3850,30172,1507,1379,163,51,0,875,3850,40,1005,0,2739,1507,956,551,2340,41,493,265,64,188,136,0,0,31184,20469,2863,1695,215,3850,1757,3789,1681,36,005,011502
1318,35298,492,463,41,13,32,135,1318,8,150,0,1126,492,294,198,795,28,139,58,59,135,8,0,0,24030,23170,835,583,25,1318,583,1318,453,36,005,011701
0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,36,005,011702
5538,100500,1566,638,35,83,44,163,5538,3135,106,114,2120,1566,1137,429,3022,58,583,52,363,768,357,8,20,37667,38125,4642,2586,205,5491,3271,4253,507,36,005,011800
5889,36250,1874,1788,148,189,180,498,5889,32,2191,0,3348,1874,1429,445,2843,25,787,225,207,292,70,0,0,32190,32355,4041,2515,296,5837,2747,5860,1781,36,005,011900
3413,51205,1055,904,31,9,97,313,3413,37,977,19,2338,1055,758,297,2309,70,419,214,162,370,35,16,0,39567,22319,2736,1598,211,3390,1620,3379,1048,36,005,012101
1495,43032,548,534,18,80,32,163,1495,0,556,0,908,548,348,200,978,46,240,40,61,14,20,0,0,25288,35292,1188,579,86,1495,517,1455,328,36,005,012102
4092,36154,1710,1481,43,182,73,548,4092,4,2150,50,1867,1710,1206,504,2603,40,480,259,216,398,22,0,0,31196,16923,3286,2179,185,4092,1801,4092,1070,36,005,012300
4146,58333,1418,1085,125,146,44,227,4146,47,596,0,3278,1418,1024,394,2437,48,653,111,234,298,120,35,0,30898,44231,2945,1953,176,4146,2086,4130,1228,36,005,012500
2385,49784,775,544,48,103,51,105,2385,0,505,0,1819,775,539,236,1436,4,303,45,125,120,36,36,0,24875,35065,1817,1203,106,2385,1214,2339,536,36,005,012701
5261,35521,1653,1615,171,42,128,628,5261,225,1227,0,3784,1653,1205,448,2942,238,502,122,301,329,0,14,0,32180,18929,3680,2093,445,5238,2501,5072,2285,36,005,012901
1329,65357,444,209,21,0,0,82,1329,355,0,18,956,444,292,152,780,41,156,14,91,95,113,0,5,50278,-666666666,1137,658,33,1329,580,1329,330,36,005,013000
5210,18408,2240,2012,82,100,80,1154,5210,130,1633,0,3348,2240,828,1412,3685,151,933,134,557,312,172,0,0,-666666666,31984,4150,2256,436,5210,2100,5203,2122,36,005,013100
7126,108582,2609,844,13,135,0,213,7126,1600,995,687,3756,2609,2010,599,5154,143,987,259,604,869,475,0,66,63958,65875,5873,3498,26,7126,3666,7126,495,36,005,013200
5838,31762,2191,2049,112,36,140,484,5838,72,2052,425,3167,2191,1470,721,3375,141,717,200,125,443,0,39,0,24211,27412,4353,2425,452,5838,2306,5811,2387,36,005,013300
3295,30865,1485,1418,252,77,160,309,3295,112,1671,58,1427,1485,1033,452,2170,96,805,31,61,55,16,0,0,37925,38718,2302,1123,154,3295,1347,3295,1406,36,005,013500
2957,90032,1250,378,24,16,6,92,2957,1268,136,318,1186,1250,713,537,2128,53,561,68,179,456,194,7,14,73482,83636,2429,1526,223,2957,1445,2957,466,36,005,013800
6864,35238,2957,2782,218,61,556,1020,6864,107,2979,25,3133,2957,1564,1393,4151,187,641,291,481,728,186,26,0,37356,31556,5235,3142,288,6864,3056,6864,1639,36,005,014100
1685,16734,697,697,132,32,24,276,1685,34,595,116,904,697,282,415,1031,61,206,103,121,107,18,0,0,29250,21300,1232,635,71,1685,830,1668,682,36,005,014300
6465,32197,2318,2015,256,207,16,428,6465,129,1698,0,4254,2318,1328,990,4222,171,1143,341,207,205,244,23,0,37910,35323,4821,2515,470,6465,2784,6376,1643,36,005,014400
6560,28022,2381,2350,274,199,275,831,6560,268,4088,0,2160,2381,1415,966,4303,177,703,675,287,182,72,0,0,25833,23212,5135,2004,286,6341,3070,6340,3134,36,005,014500
5151,23500,2052,2016,428,65,174,755,5151,49,3070,0,1724,2052,1179,873,3160,159,1215,145,102,227,34,0,0,21450,19384,4054,1874,145,5151,1852,5142,2816,36,005,014701
4985,21533,1881,1844,103,77,187,212,4985,55,1714,0,3216,1881,1226,655,2727,151,489,332,257,347,17,0,0,34817,23769,3741,1690,354,4985,2122,4985,2096,36,005,014702
4755,35213,1535,1247,95,67,220,529,4755,164,1675,0,2599,1535,784,751,2830,267,697,64,285,274,257,0,0,43172,22883,3394,2096,405,4656,2583,4656,1781,36,005,014900
5414,30558,2146,1784,82,243,106,752,5414,8,2647,0,2701,2146,1113,1033,3829,186,567,233,515,90,218,0,0,27469,23831,4262,2014,252,5392,2854,5252,2145,36,005,015100
2601,84265,976,444,30,15,27,172,2601,826,226,36,1367,976,595,381,1695,47,478,98,134,245,102,0,20,50383,60298,2090,1266,58,2601,1457,2513,378,36,005,015200
3502,34704,1749,1573,126,56,269,520,3502,6,1180,0,2301,1749,763,986,2459,79,330,277,359,183,68,0,0,33859,27274,2782,1256,167,3502,1720,3502,975,36,005,015300
3154,42118,1085,1030,85,40,89,240,3154,41,900,11,2170,1085,746,339,2080,111,523,212,46,303,33,10,0,32571,43074,2394,1334,256,3154,1373,3154,733,36,005,015500
5959,45731,2267,2054,156,210,259,593,5959,32,2485,23,2900,2267,1286,981,3836,269,844,289,426,498,138,0,75,30043,32550,4375,2804,314,5959,3202,5936,2002,36,005,015700
1625,81000,534,302,17,28,27,142,1625,640,96,99,790,534,341,193,1204,36,323,17,166,134,109,5,0,55893,64034,1327,846,102,1625,808,1625,396,36,005,015800
2153,24654,929,831,170,41,31,177,2153,11,253,47,1842,929,450,479,1505,122,224,63,179,225,81,0,0,40370,28298,1651,1030,75,2149,893,2149,932,36,005,015900
